Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
37553,0.00,0.00,23.54,13.60,183,0.12,2518,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.38,0.00,0.00
37809,0.00,0.00,23.31,13.84,183,0.18,2488,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.48,0.00,0.00
38066,0.00,0.00,23.89,13.84,183,0.19,2458,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.48,0.00,0.00
38323,0.00,0.00,23.43,13.84,183,0.12,2453,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.32,1.40,0.00,0.00
38580,0.00,0.00,23.66,13.84,183,0.18,2428,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.17,1.48,0.00,0.00
38837,0.00,0.00,23.54,13.84,183,0.19,2379,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.17,1.48,0.00,0.00
39094,0.00,0.00,23.43,13.76,183,0.17,2359,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.17,1.46,0.00,0.00
39351,0.00,0.00,23.77,13.68,181,0.21,2341,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.03,1.50,0.00,0.00
39609,0.00,0.00,23.31,13.68,181,0.21,2320,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.03,1.50,0.00,0.00
39866,0.00,0.00,23.31,13.68,181,0.18,2300,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-11.03,1.44,0.00,0.00
40123,0.00,0.00,23.54,13.60,181,0.12,2298,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-10.88,1.36,0.00,0.00
40380,0.00,0.00,23.54,13.68,181,0.14,2264,0.00,0.00,33.33,16,15.50,0.00,84,0.00,-10.88,1.38,0.00,0.00
40637,0.00,0.00,23.43,13.68,181,0.11,2208,0.00,0.00,33.33,16,13.00,0.00,84,0.00,-10.88,1.32,0.00,0.00
40894,0.00,0.00,23.54,13.68,181,0.30,1780,0.00,0.00,33.33,16,13.00,0.00,84,0.00,-10.45,1.54,0.00,0.00
41151,0.00,0.00,23.20,13.76,181,0.35,1415,0.00,0.00,33.33,16,21.00,0.00,84,0.00,-10.16,1.52,0.00,0.00
41408,0.00,0.00,23.20,13.92,181,0.41,1486,0.00,0.00,33.33,16,3.00,2.22,84,0.00,-8.85,1.56,0.00,2.75
